customer_id,product_id,order_id,order_date,total_amount,quantity,status,updated_at,product_name,category,price_usd,country,order_month,order_year
CUST-000221,PROD-002275,ORD-00000001,2025-11-28,6678.96,7,COMPLETED,2026-01-21 21:47:15,Product 275 - Home,Home,231.2,AU,11,2025
CUST-022755,PROD-006524,ORD-00000002,2024-09-24,12347.57,10,COMPLETED,2025-07-25 16:45:01,Product 524 - Clothing,Clothing,430.55,CA,9,2024
CUST-010675,PROD-000034,ORD-00000007,2026-01-09,2999.65,8,SHIPPED,2026-01-15 21:40:09,Product 34 - Home,Home,506.38,GB,1,2026
CUST-001222,PROD-000143,ORD-00000011,2025-03-03,5248.75,4,COMPLETED,2025-06-20 13:27:11,Product 143 - Automotive,Automotive,873.27,BR,3,2025
CUST-003875,PROD-004494,ORD-00000028,2025-12-09,675.6,1,PENDING,2025-12-23 13:33:57,Product 494 - Sports,Sports,1275.28,DE,12,2025
CUST-038119,PROD-000161,ORD-00000037,2024-08-29,6776.77,4,SHIPPED,2025-02-16 03:47:29,Product 161 - Books,Books,934.29,GB,8,2024
CUST-001752,PROD-000433,ORD-00000038,2024-03-29,15247.06,9,COMPLETED,2025-01-01 16:18:00,Product 433 - Clothing,Clothing,1220.12,AU,3,2024
CUST-001192,PROD-000497,ORD-00000048,2024-05-25,386.6,4,COMPLETED,2025-01-22 11:16:37,Product 497 - Toys,Toys,504.27,DE,5,2024
CUST-001867,PROD-005598,ORD-00000054,2025-03-10,7959.92,9,PENDING,2025-12-07 19:58:31,Product 598 - Clothing,Clothing,1908.35,JP,3,2025
CUST-000549,PROD-000225,ORD-00000057,2024-09-05,1417.86,1,COMPLETED,2025-11-25 05:05:34,Product 225 - Sports,Sports,689.5,CN,9,2024
