order_id,customer_id,product_id,order_date,total_amount,quantity,status,updated_at
ORD-00000001,CUST-000221,PROD-002275,2025-11-28,6678.96,7,COMPLETED,2026-01-21 21:47:15
ORD-00000002,CUST-022755,PROD-006524,2024-09-24,12347.57,10,COMPLETED,2025-07-25 16:45:01
ORD-00000007,CUST-010675,PROD-000034,2026-01-09,2999.65,8,SHIPPED,2026-01-15 21:40:09
ORD-00000011,CUST-001222,PROD-000143,2025-03-03,5248.75,4,COMPLETED,2025-06-20 13:27:11
ORD-00000028,CUST-003875,PROD-004494,2025-12-09,675.6,1,PENDING,2025-12-23 13:33:57
ORD-00000037,CUST-038119,PROD-000161,2024-08-29,6776.77,4,SHIPPED,2025-02-16 03:47:29
ORD-00000038,CUST-001752,PROD-000433,2024-03-29,15247.06,9,COMPLETED,2025-01-01 16:18:00
ORD-00000048,CUST-001192,PROD-000497,2024-05-25,386.6,4,COMPLETED,2025-01-22 11:16:37
ORD-00000054,CUST-001867,PROD-005598,2025-03-10,7959.92,9,PENDING,2025-12-07 19:58:31
ORD-00000057,CUST-000549,PROD-000225,2024-09-05,1417.86,1,COMPLETED,2025-11-25 05:05:34
