product_id,sku,product_name,category,subcategory,price_usd,active,created_at,updated_at
PROD-10000,SKU-844363,LightSteelBlue Chairs,Office,Chairs,23.3,True,2021-12-13 03:02:19,2024-10-03 03:02:19
PROD-10001,SKU-502343,Tan Cycling,Sports,Cycling,25.92,True,2022-08-01 03:02:19,2025-05-08 03:02:19
PROD-10002,SKU-898528,SpringGreen Puzzles,Toys,Puzzles,28.19,True,2022-07-27 03:02:19,2025-08-18 03:02:19
PROD-10003,SKU-168517,AntiqueWhite Board Games,Toys,Board Games,13.77,True,2021-09-19 03:02:19,2025-04-17 03:02:19
PROD-10004,SKU-940551,DarkGreen Board Games,Toys,Board Games,36.72,True,2022-09-20 03:02:19,2024-11-07 03:02:19
PROD-10005,SKU-723333,Linen Audio,Electronics,Audio,12.11,True,2022-11-25 03:02:19,2025-07-17 03:02:19
PROD-10006,SKU-579364,OliveDrab Education,Books,Education,25.06,True,2023-01-11 03:02:19,2025-01-05 03:02:19
PROD-10007,SKU-748725,GreenYellow Bedding,Home,Bedding,39.2,True,2023-06-21 03:02:19,2025-09-06 03:02:19
PROD-10008,SKU-156447,DarkOrchid Dolls,Toys,Dolls,71.84,True,2021-10-23 03:02:19,2025-07-04 03:02:19
PROD-10009,SKU-398766,Gainsboro Men,Fashion,Men,16.69,True,2021-12-30 03:02:19,2025-05-05 03:02:19
PROD-10010,SKU-449796,MediumSeaGreen Wearables,Electronics,Wearables,67.53,True,2022-12-13 03:02:19,2025-01-04 03:02:19
PROD-10011,SKU-861833,MediumSeaGreen Wearables,Electronics,Wearables,28.8,True,2022-12-29 03:02:19,2024-12-03 03:02:19
PROD-10012,SKU-652299,DarkBlue Accessories,Sports,Accessories,25.03,True,2021-09-25 03:02:19,2025-09-17 03:02:19
PROD-10013,SKU-577296,DarkGoldenRod Frozen,Grocery,Frozen,59.93,True,2023-07-10 03:02:19,2025-01-18 03:02:19
PROD-10014,SKU-888718,Brown Frozen,Grocery,Frozen,77.42,True,2022-08-08 03:02:19,2024-10-01 03:02:19
PROD-10015,SKU-775980,Gold Tires,Automotive,Tires,14.22,True,2023-05-28 03:02:19,2024-10-15 03:02:19
PROD-10016,SKU-278378,AliceBlue Fitness,Sports,Fitness,23.34,True,2023-05-16 03:02:19,2025-07-06 03:02:19
PROD-10017,SKU-974015,SlateGray Frozen,Grocery,Frozen,44.32,True,2023-06-11 03:02:19,2025-01-02 03:02:19
PROD-10018,SKU-466183,Peru Team Sports,Sports,Team Sports,54.01,True,2023-06-22 03:02:19,2025-03-06 03:02:19
PROD-10019,SKU-158673,Salmon Makeup,Beauty,Makeup,18.02,True,2022-08-14 03:02:19,2025-04-01 03:02:19
PROD-10020,SKU-469540,DarkTurquoise Kitchen,Home,Kitchen,17.04,True,2021-10-14 03:02:19,2024-12-09 03:02:19
PROD-10021,SKU-300825,DarkSalmon Makeup,Beauty,Makeup,33.09,True,2022-06-29 03:02:19,2024-12-03 03:02:19
PROD-10022,SKU-365152,FloralWhite Dolls,Toys,Dolls,17.16,True,2022-08-28 03:02:19,2025-03-25 03:02:19
PROD-10023,SKU-940933,MediumSeaGreen Printers,Office,Printers,27.39,True,2021-11-03 03:02:19,2025-03-13 03:02:19
PROD-10024,SKU-752189,GhostWhite Team Sports,Sports,Team Sports,62.34,True,2022-09-09 03:02:19,2025-09-22 03:02:19
PROD-10025,SKU-729089,PaleVioletRed Wearables,Electronics,Wearables,35.17,True,2022-05-14 03:02:19,2025-05-08 03:02:19
PROD-10026,SKU-918729,PowderBlue Accessories,Automotive,Accessories,35.66,True,2022-08-02 03:02:19,2025-06-19 03:02:19
PROD-10027,SKU-708319,FireBrick Haircare,Beauty,Haircare,8.36,True,2021-10-22 03:02:19,2025-04-01 03:02:19
PROD-10028,SKU-960199,MediumOrchid Accessories,Sports,Accessories,27.7,True,2022-12-05 03:02:19,2025-03-29 03:02:19
PROD-10029,SKU-827749,Gray Appliances,Home,Appliances,33.24,False,2023-05-09 03:02:19,2025-05-25 03:02:19
PROD-10030,SKU-959330,Turquoise Frozen,Grocery,Frozen,69.35,True,2022-07-02 03:02:19,2025-08-02 03:02:19
PROD-10031,SKU-709390,IndianRed Wearables,Electronics,Wearables,20.52,True,2021-10-19 03:02:19,2025-02-27 03:02:19
PROD-10032,SKU-415931,MediumTurquoise Kitchen,Home,Kitchen,64.36,True,2022-12-30 03:02:19,2025-04-13 03:02:19
PROD-10033,SKU-390210,MediumVioletRed Accessories,Automotive,Accessories,20.23,True,2023-04-21 03:02:19,2024-10-29 03:02:19
PROD-10034,SKU-907746,Thistle Accessories,Sports,Accessories,41.92,True,2021-10-14 03:02:19,2025-09-20 03:02:19
PROD-10035,SKU-410654,IndianRed Tools,Automotive,Tools,32.97,False,2023-03-06 03:02:19,2025-02-16 03:02:19
PROD-10036,SKU-612668,Purple Bedding,Home,Bedding,39.79,True,2023-07-14 03:02:19,2025-07-15 03:02:19
PROD-10037,SKU-348563,DimGray Women,Fashion,Women,57.93,True,2021-10-10 03:02:19,2025-09-21 03:02:19
PROD-10038,SKU-847204,MediumVioletRed Produce,Grocery,Produce,32.98,True,2021-09-14 03:02:19,2025-05-08 03:02:19
PROD-10039,SKU-824779,Silver Fiction,Books,Fiction,41.81,True,2021-10-28 03:02:19,2025-08-21 03:02:19
PROD-10040,SKU-852617,GoldenRod Fitness,Sports,Fitness,62.28,False,2022-10-02 03:02:19,2024-11-24 03:02:19
PROD-10041,SKU-817492,Turquoise Women,Fashion,Women,21.1,True,2023-05-16 03:02:19,2025-07-23 03:02:19
PROD-10042,SKU-705526,Purple Tools,Automotive,Tools,19.8,True,2023-06-05 03:02:19,2025-03-06 03:02:19
PROD-10043,SKU-444246,LightGreen Accessories,Fashion,Accessories,44.03,True,2022-04-19 03:02:19,2025-02-12 03:02:19
PROD-10044,SKU-177356,Purple Men,Fashion,Men,45.64,True,2021-10-08 03:02:19,2024-11-08 03:02:19
PROD-10045,SKU-386284,White Cycling,Sports,Cycling,37.71,True,2023-07-07 03:02:19,2025-10-12 03:02:19
PROD-10046,SKU-666104,Lime Men,Fashion,Men,60.13,True,2023-04-09 03:02:19,2024-11-13 03:02:19
PROD-10047,SKU-647418,LightPink Action Figures,Toys,Action Figures,19.63,True,2022-10-15 03:02:19,2025-07-25 03:02:19
PROD-10048,SKU-413932,DimGray Cameras,Electronics,Cameras,35.51,True,2023-06-26 03:02:19,2024-09-15 03:02:19
PROD-10049,SKU-892814,MediumSlateBlue Fiction,Books,Fiction,13.94,True,2023-05-05 03:02:19,2024-09-19 03:02:19
