AccountExternalId,Name,Type,Industry,AnnualRevenue,Rating,Phone,Website,BillingStreet,BillingCity,BillingState,BillingCountry,BillingPostalCode,CreatedDate
987b8dfc8528bb4c4514e82d921a0fedcc624002aa03dbed58a05c511f82c343,"  Russo, Wilkins and Smith  ",Customer,Healthcare,73016971.0,,001-419-277-9565x21414,parks.com,27006 Sanchez Canyon,Christianton,NE,Monaco,83569.0,2025-02-02T21:30:22Z
f3065f0f10ab8f48724cdd92149a0d59137f902371a79d7a010d194e718a426e,"Smith, Underwood and Roberts",Vendor,Media,,,111-334-3666,https://pope.net,86576 Kirk Gateway,Sharpfort,,Equatorial Guinea,22148.0,2025-08-29
27e5b8636e4aceb005905c6941ed793c7102d4f059ee657fcc3723016c26b689,  Allen-Davis  ,Prospect,Energy,,,808.353.8108x05210,http://osborne.com,2891 Prince Fort Apt. 851,South John,NV,Jordan,62912.0,2024-11-29
9fb82ec7d9f5ce5fd0aaeb5db4e91f0d822af7e8b2571a28adf8dac9ffa61bcd,"Dyer, Suarez and Jimenez",Customer,Manufacturing,,,(932)928-1495x2661,http://schroeder.org,9691 Mccullough Crest,Wilkinsontown,HI,Guadeloupe,28879.0,2025-03-28
710fccaa7353961b486e13acd5fde02e14917cb23ad607c579b175ab7f751a08,Mitchell Ltd,Prospect,Finance,57962060.0,,5183695648,https://kelly.com,0250 Wesley Terrace,South Kristen,WY,Botswana,85726.0,2023-12-18
9d876bd71740cfa5224cfe8df2e38ea3e71441b319c3723ac1f7b5f045df4a66,"Hall, Russell and Harrison",Partner,Manufacturing,69854067.0,Cold,(656)886-8036x09834,https://tran.com,83441 Rebecca Expressway Apt. 262,East John,NJ,Sri Lanka,70543.0,2024-09-05T21:30:23Z
c655bd32b0733ba1a6337d8c03227d345cfb3b5bb20073b76a134a1d9cbec445,"Ortiz, Taylor and Rosales",Customer,Finance,68464989.0,,(761)552-7107,https://lee.info,63123 Strickland Path,Philipmouth,WA,Belgium,87246.0,2024-04-20
26dc6647245c036968f313916aa5c5769bdb69169f0b7fa3619758907b35cbf6,"Barnes, King and Little",Customer,Transportation,51728873.0,,001-561-185-1699x58149,http://collins.com,838 Melissa Crest,West Martin,NH,Tunisia,,09/14/2025 21:30
268a6f5131ed6c0a211c45cb3ede17bb46dc82f0e355647048ed3b538548743b,Allen Llc,Customer,Healthcare,59293033.0,Hot,+1-565-982-2352x471,http://mercado-kennedy.org,3305 Beth Roads,West Caroline,ND,Jersey,10364.0,2024-12-07T21:30:23Z
690aa884b3f3447b9aaaac6c833669d49fee1828ffb59544b882eba254f276c0,Berry and Sons,Vendor,Finance,49889143.0,Cold,,https://harris.info,950 Allen Center,Webbfurt,ID,Marshall Islands,13278.0,2025-05-22
3295d661ec06ff91a3b299c5d644868f43585233766b09a0401851cac0466b4e,Martinez Ltd,Partner,Healthcare,67703923.0,Cold,+1-289-500-4389x39559,https://brown.com,70989 Simpson Throughway Suite 327,Garciafurt,NV,Japan,60086.0,02/11/2024 21:30
6a8b2bf85279171cd61c58fd6617cf2cfc5cf18c902c462a8f9c0c7ad7229b89,  Ferguson Group  ,Partner,Manufacturing,,Cold,(843)444-2307x5637,http://zavala.com,51216 Faulkner Ranch Suite 770,Port Jessica,WY,Algeria,98935.0,2023-12-28
29e7789920bd583475da5a397977b4e24124f09ea2a844aebde92b39e72017ee,Hunter and Sons LLC,Prospect,Hospitality,,Cold,001-488-295-2148x546,https://anderson-curry.com,511 Jessica Course Suite 598,New Kevin,UT,Cape Verde,84619.0,2024-11-24
debdc4d03aaf495988b4a74361c336b38c36e34205d5440a35fd2315433ec0e4,"Mcclure, Bowers and Mccann",Prospect,Manufacturing,,Warm,001-562-251-3774,walter-arnold.info,0209 Clark Plain Apt. 100,South Ronaldchester,MO,Ecuador,,03/02/2025 21:30
1e13286edd0c71707522a0720da8cdc24bc71de970723b2e1af77811b94abbf3,"Mills, Andrews and Murillo",Vendor,Energy,,Cold,126.386.0596x37651,http://warner.com,7434 Katherine Viaduct Apt. 063,Port Kristinaland,KY,Gibraltar,26233.0,2023-12-08
7190eaedd0e38423ec1354e4c047dd8802c558efd00dd8a7a50cce75253560c4,"Davis, Tate and Weiss",Prospect,Energy,,Cold,(379)287-6119x53307,https://francis.net,93710 Melvin Trafficway,West Johnathanfort,NC,Maldives,97216.0,2024-11-07
20362b588dad90070da3128f6509d173423405f5bd89537634208f14131b6751,Williams LLC,Prospect,Hospitality,43282466.0,Warm,+1-838-945-0516,https://martinez.com,452 James Unions Apt. 595,Cherylbury,NC,Gibraltar,70922.0,10/08/2024 21:30
