as_of_date,base_ccy,ccy,rate_to_base,fetched_at
2025-06-01,USD,USD,0.997084,2025-10-12T03:24:11.646066
2025-06-01,USD,EUR,0.927846,2025-10-12T03:24:11.646081
2025-06-01,USD,GBP,0.770079,2025-10-12T03:24:11.646089
2025-06-01,USD,INR,84.799194,2025-10-12T03:24:11.646096
2025-06-01,USD,CAD,1.351765,2025-10-12T03:24:11.646104
2025-06-01,USD,AUD,1.486429,2025-10-12T03:24:11.646111
2025-06-01,USD,JPY,150.579602,2025-10-12T03:24:11.646119
2025-06-01,USD,CHF,0.915383,2025-10-12T03:24:11.646130
2025-06-01,USD,CNY,7.193449,2025-10-12T03:24:11.646138
2025-06-01,USD,SGD,1.363275,2025-10-12T03:24:11.646146
2025-06-01,USD,HKD,7.797205,2025-10-12T03:24:11.646153
2025-06-01,USD,AED,3.678839,2025-10-12T03:24:11.646162
2025-06-01,USD,ZAR,17.934007,2025-10-12T03:24:11.646170
2025-06-01,USD,MXN,17.036646,2025-10-12T03:24:11.646178
2025-06-01,USD,SEK,10.422313,2025-10-12T03:24:11.646186
2025-06-01,USD,NOK,10.782099,2025-10-12T03:24:11.646211
2025-06-01,USD,DKK,6.856078,2025-10-12T03:24:11.646219
2025-06-01,USD,NZD,1.655452,2025-10-12T03:24:11.646226
2025-06-01,USD,PLN,4.093444,2025-10-12T03:24:11.646234
2025-06-01,USD,THB,36.426591,2025-10-12T03:24:11.646242
2025-06-01,USD,BRL,5.106789,2025-10-12T03:24:11.646249
2025-06-01,USD,TRY,33.128709,2025-10-12T03:24:11.646256
2025-06-01,USD,KRW,1349.65732,2025-10-12T03:24:11.646264
2025-06-01,USD,MYR,4.685836,2025-10-12T03:24:11.646271
2025-06-01,USD,PHP,56.888712,2025-10-12T03:24:11.646279
2025-06-01,USD,IDR,15454.964883,2025-10-12T03:24:11.646287
2025-06-01,USD,ARS,918.363853,2025-10-12T03:24:11.646298
2025-06-01,USD,CLP,920.144651,2025-10-12T03:24:11.646306
2025-06-01,USD,CZK,23.135921,2025-10-12T03:24:11.646313
2025-06-01,USD,VND,24404.866961,2025-10-12T03:24:11.646321
2025-06-02,USD,USD,0.995682,2025-10-12T03:24:11.646329
2025-06-02,USD,EUR,0.93149,2025-10-12T03:24:11.646336
2025-06-02,USD,GBP,0.77016,2025-10-12T03:24:11.646344
2025-06-02,USD,INR,85.054606,2025-10-12T03:24:11.646352
2025-06-02,USD,CAD,1.347087,2025-10-12T03:24:11.646360
2025-06-02,USD,AUD,1.483862,2025-10-12T03:24:11.646367
2025-06-02,USD,JPY,150.542137,2025-10-12T03:24:11.646375
2025-06-02,USD,CHF,0.9173,2025-10-12T03:24:11.646382
2025-06-02,USD,CNY,7.217769,2025-10-12T03:24:11.646390
2025-06-02,USD,SGD,1.362108,2025-10-12T03:24:11.646397
2025-06-02,USD,HKD,7.82397,2025-10-12T03:24:11.646404
2025-06-02,USD,AED,3.678828,2025-10-12T03:24:11.646412
2025-06-02,USD,ZAR,17.977343,2025-10-12T03:24:11.646420
2025-06-02,USD,MXN,17.090697,2025-10-12T03:24:11.646427
2025-06-02,USD,SEK,10.420823,2025-10-12T03:24:11.646434
2025-06-02,USD,NOK,10.81211,2025-10-12T03:24:11.646442
2025-06-02,USD,DKK,6.843829,2025-10-12T03:24:11.646449
2025-06-02,USD,NZD,1.653336,2025-10-12T03:24:11.646457
2025-06-02,USD,PLN,4.080511,2025-10-12T03:24:11.646464
2025-06-02,USD,THB,36.433336,2025-10-12T03:24:11.646472
2025-06-02,USD,BRL,5.112856,2025-10-12T03:24:11.646480
2025-06-02,USD,TRY,33.234618,2025-10-12T03:24:11.646487
2025-06-02,USD,KRW,1345.380159,2025-10-12T03:24:11.646495
2025-06-02,USD,MYR,4.678779,2025-10-12T03:24:11.646503
2025-06-02,USD,PHP,56.696703,2025-10-12T03:24:11.646511
2025-06-02,USD,IDR,15509.10303,2025-10-12T03:24:11.646518
2025-06-02,USD,ARS,921.736724,2025-10-12T03:24:11.646526
2025-06-02,USD,CLP,917.871836,2025-10-12T03:24:11.646533
2025-06-02,USD,CZK,23.219954,2025-10-12T03:24:11.646541
2025-06-02,USD,VND,24393.943006,2025-10-12T03:24:11.646548
2025-06-03,USD,USD,0.993798,2025-10-12T03:24:11.646556
2025-06-03,USD,EUR,0.932756,2025-10-12T03:24:11.646564
2025-06-03,USD,GBP,0.769398,2025-10-12T03:24:11.646571
2025-06-03,USD,INR,85.384935,2025-10-12T03:24:11.646579
2025-06-03,USD,CAD,1.348888,2025-10-12T03:24:11.646587
2025-06-03,USD,AUD,1.489696,2025-10-12T03:24:11.646594
2025-06-03,USD,JPY,151.112469,2025-10-12T03:24:11.646602
2025-06-03,USD,CHF,0.914962,2025-10-12T03:24:11.646609
2025-06-03,USD,CNY,7.214384,2025-10-12T03:24:11.646616
2025-06-03,USD,SGD,1.363991,2025-10-12T03:24:11.646623
2025-06-03,USD,HKD,7.833582,2025-10-12T03:24:11.646630
2025-06-03,USD,AED,3.675385,2025-10-12T03:24:11.646638
2025-06-03,USD,ZAR,18.001682,2025-10-12T03:24:11.646645
2025-06-03,USD,MXN,17.120755,2025-10-12T03:24:11.646652
2025-06-03,USD,SEK,10.444446,2025-10-12T03:24:11.646659
2025-06-03,USD,NOK,10.796626,2025-10-12T03:24:11.646667
2025-06-03,USD,DKK,6.821768,2025-10-12T03:24:11.646674
2025-06-03,USD,NZD,1.657759,2025-10-12T03:24:11.646681
2025-06-03,USD,PLN,4.065012,2025-10-12T03:24:11.646688
2025-06-03,USD,THB,36.357196,2025-10-12T03:24:11.646696
2025-06-03,USD,BRL,5.127463,2025-10-12T03:24:11.646703
2025-06-03,USD,TRY,33.115095,2025-10-12T03:24:11.646710
2025-06-03,USD,KRW,1342.087843,2025-10-12T03:24:11.646717
2025-06-03,USD,MYR,4.677877,2025-10-12T03:24:11.646724
2025-06-03,USD,PHP,56.576589,2025-10-12T03:24:11.646732
2025-06-03,USD,IDR,15491.621371,2025-10-12T03:24:11.646740
2025-06-03,USD,ARS,919.120197,2025-10-12T03:24:11.646747
2025-06-03,USD,CLP,915.196336,2025-10-12T03:24:11.646755
2025-06-03,USD,CZK,23.145239,2025-10-12T03:24:11.646762
2025-06-03,USD,VND,24325.968738,2025-10-12T03:24:11.646770
2025-06-04,USD,USD,0.990971,2025-10-12T03:24:11.646778
2025-06-04,USD,EUR,0.929245,2025-10-12T03:24:11.646786
2025-06-04,USD,GBP,0.770808,2025-10-12T03:24:11.646794
2025-06-04,USD,INR,85.505289,2025-10-12T03:24:11.646801
2025-06-04,USD,CAD,1.348278,2025-10-12T03:24:11.646809
2025-06-04,USD,AUD,1.485226,2025-10-12T03:24:11.646817
2025-06-04,USD,JPY,150.720512,2025-10-12T03:24:11.646825
2025-06-04,USD,CHF,0.915765,2025-10-12T03:24:11.646832
2025-06-04,USD,CNY,7.201219,2025-10-12T03:24:11.646839
2025-06-04,USD,SGD,1.366313,2025-10-12T03:24:11.646846
2025-06-04,USD,HKD,7.825186,2025-10-12T03:24:11.646853
2025-06-04,USD,AED,3.668911,2025-10-12T03:24:11.646860
2025-06-04,USD,ZAR,18.056623,2025-10-12T03:24:11.646868
2025-06-04,USD,MXN,17.075106,2025-10-12T03:24:11.646875
2025-06-04,USD,SEK,10.411094,2025-10-12T03:24:11.646883
2025-06-04,USD,NOK,10.837577,2025-10-12T03:24:11.646890
2025-06-04,USD,DKK,6.846679,2025-10-12T03:24:11.646898
2025-06-04,USD,NZD,1.65279,2025-10-12T03:24:11.646905
2025-06-04,USD,PLN,4.053029,2025-10-12T03:24:11.646912
2025-06-04,USD,THB,36.310798,2025-10-12T03:24:11.646922
2025-06-04,USD,BRL,5.127485,2025-10-12T03:24:11.646929
2025-06-04,USD,TRY,33.207177,2025-10-12T03:24:11.646937
2025-06-04,USD,KRW,1342.819892,2025-10-12T03:24:11.646944
2025-06-04,USD,MYR,4.667265,2025-10-12T03:24:11.646952
2025-06-04,USD,PHP,56.631555,2025-10-12T03:24:11.646959
2025-06-04,USD,IDR,15477.519551,2025-10-12T03:24:11.646966
2025-06-04,USD,ARS,918.272995,2025-10-12T03:24:11.646974
2025-06-04,USD,CLP,912.920222,2025-10-12T03:24:11.646981
2025-06-04,USD,CZK,23.229931,2025-10-12T03:24:11.646988
2025-06-04,USD,VND,24252.625579,2025-10-12T03:24:11.646996
2025-06-05,USD,USD,0.987693,2025-10-12T03:24:11.647003
2025-06-05,USD,EUR,0.930001,2025-10-12T03:24:11.647010
2025-06-05,USD,GBP,0.7714,2025-10-12T03:24:11.647017
2025-06-05,USD,INR,85.249509,2025-10-12T03:24:11.647025
2025-06-05,USD,CAD,1.349519,2025-10-12T03:24:11.647032
2025-06-05,USD,AUD,1.483175,2025-10-12T03:24:11.647039
2025-06-05,USD,JPY,150.533972,2025-10-12T03:24:11.647046
2025-06-05,USD,CHF,0.914598,2025-10-12T03:24:11.647055
2025-06-05,USD,CNY,7.179465,2025-10-12T03:24:11.647063
2025-06-05,USD,SGD,1.371223,2025-10-12T03:24:11.647070
2025-06-05,USD,HKD,7.816039,2025-10-12T03:24:11.647077
2025-06-05,USD,AED,3.66863,2025-10-12T03:24:11.647084
2025-06-05,USD,ZAR,17.993421,2025-10-12T03:24:11.647092
2025-06-05,USD,MXN,17.073641,2025-10-12T03:24:11.647099
