order_id,event_ts,currency,amount,status,sku,AccountExternalId
ORD-87489d21-4045-4b93-bcd9-e31ef5611195,2025-09-29 03:20:03,EUR,157.22,PAID,SKU-164405,d64593fa987bf01b008a1809a8bf320bf617d7431d06dde6cafb2b0d7f8ce4a3
ORD-4fabea39-0230-4240-bf56-73d41c230876,2025-08-23 18:56:54,USD,40.31,SHIPPED,SKU-143868,2588ac6ead413b8334f1890b7f8b3defdb5173b2745db8decc7ffca0daf8295e
ORD-d45fc48f-9afd-4dd2-91b4-9d2b3d478d44,2025-10-09 14:25:25,CNY,50.04,SHIPPED,SKU-519106,afb102d3119826c597d24c6d34a8e98a277956cc09bd2389df918be80ae4a4c0
ORD-fa930e91-80a7-4cb5-b28f-4508415f4e24,2025-08-24 14:48:57,CHF,87.95,PAID,SKU-855754,bd23ff7e40d23330bc163b51bde9bf5f69c8612b9d006d1ae5857bb79d72b689
ORD-e07d0ea2-b10d-40be-8add-ec70dc0eed3f,2025-08-13 17:36:44,GBP,65.0,SHIPPED,SKU-145395,50c740cfba6473c040b4a4cd0c93bcdfb5877ae0f1e0ae391efd30288e53eb74
ORD-2ad7bdb1-75dd-4a8a-8334-07e15447aeb7,2025-10-09 14:38:46,GBP,60.5,PLACED,SKU-667344,0dd5695587856502522089f007707e2fdb9b4957e0afe5b11f7701946d76fa69
ORD-a2d349a9-e612-40cf-8774-51837c5c8341,2025-09-17 03:36:13,CHF,75.66,PAID,SKU-703224,6461f28b30c37c4d97c80e1a58de29fc4ed51cb10078886659494231bdcd7ada
ORD-1a064466-c25d-4396-82a5-938276373507,2025-10-11 04:54:55,CHF,80.96,PAID,SKU-622408,b45fee2487aa66356aa27153ce6b1a12bac205b847e091dad31a3aa7097d01b7
ORD-be54ad03-b666-43af-a81a-c5bbda08a6d3,2025-09-20 17:36:54,SEK,37.06,SHIPPED,SKU-472412,1a5beabe21e8913dfc99669d779f1734e34afb0286ed502a8cbf0ae487e0caa4
ORD-26f61b13-04e4-4434-8cbb-3f3283489488,2025-10-08 22:32:42,USD,51.98,SHIPPED,SKU-486967,5d16cc5dfba7c3b4a9b7c87bd3d87ef0066f4d8dd7498da7ee61c7142957fecf
ORD-9c3b721f-7b79-4a45-bdd4-a764c1ab168b,2025-09-30 06:57:44,CHF,82.42,CANCELLED,,51fddeb9bc0a41d1b3b46fb29a8f2aa6b203de1d80c631ced3fb7116ec55fd57
ORD-6d7df5c7-6d2c-4fb4-931c-f839b9b0eeee,2025-09-28 23:00:27,SEK,29.45,PAID,SKU-378317,eac86f9dbc1a5500ba17755f773fc96728a61028547512cf2d21131fbcf61d3b
ORD-95023ab1-600c-425e-970f-d296641a81f3,2025-08-14 17:27:28,CHF,88.96,PAID,SKU-475130,7634b3e7c4bb2fc1669b670aa082b97a67f7d9ee09bcacc72bbec2e2843f6cdc
ORD-8a6409bd-0d8e-4bbf-a0a3-27a9acca4d07,2025-10-03 19:43:32,JPY,66.88,CANCELLED,SKU-554962,d4a782fe580e240457ab12a1edd58173925ba4aa76aacaec3c76f22410f47a2f
ORD-3c3da06c-ea78-475c-85b6-50fe8d29090e,2025-08-14 01:45:08,SEK,81.72,SHIPPED,SKU-498984,07f25ad59984d845ae7f208d69460c547738ab3c77114574c366fd0b8a582065
ORD-6be3c7b8-3863-4af7-9f9e-e8895f5a081c,2025-09-05 00:07:16,CNY,69.28,PLACED,SKU-940895,e39dc8412878c69fb1f6a09dcbf532f656036a55db10cc8ac6d046ed7e5a09e0
ORD-ef23f8d0-1e0a-4413-84ab-170a8f3fd015,2025-09-03 09:29:05,CHF,164.57,PLACED,SKU-596648,b7315d8668019856fcf4508bf17233ea27d4a52267308e9b43950ad58a603306
ORD-ecf54b0f-d1a9-4d8c-9caf-725b583f97b4,2025-08-18 14:52:45,SEK,28.53,SHIPPED,SKU-685346,47dd4c910808349e18ba7ff23a8cfd389853b980824579c0c6e4163b16c9e5ff
ORD-2a6d844e-3fc6-4e4e-99d4-d5fed57641e3,2025-09-03 18:26:02,CAD,182.67,CANCELLED,SKU-115753,ee53ec76f217c6e0699bb0bb04c28f0a93eecdc4de238036864353d45a00bf74
ORD-a282fc03-6ee6-4359-9268-e55d054cc0a0,2025-08-20 03:44:44,SEK,47.89,PAID,SKU-227773,11710ff12e5bf46c646c692bdf67bfdce50b1b0ad2df3d65d8ca316f10b726fa
