Account Name,Type,Industry,Annual Revenue,Rating,Phone,Website,Billing Street,Billing City,Billing State/Province,Billing Country,Billing Zip/Postal Code,Contact First Name,Contact Last Name,Created Date,Record Source,Ingest Timestamp,account_bkey,customer_id
"Phillips, Howard and Green",Vendor,Education,10615078,Warm,575.993.0900,http://www.morgan.com/,6972 Green Manors Apt. 628,Courtneyview,NJ,Norfolk Island,76038,Morgan,Wilson,2021-08-07T14:30:49,salesforce_accounts,2025-10-12T04:56:38.677936,650df985-e549-4c6d-b9bd-983a00d2a1c7,650df985-e549-4c6d-b9bd-983a00d2a1c7
Green-Hobbs,Prospect,Finance,29006244,Cold,486-145-1546,https://www.webb.com/,9192 Laura Hollow,Warrenbury,CA,Nigeria,31617,Alex,Wilson,2024-07-15T10:40:38,salesforce_accounts,2025-10-12T04:56:38.677936,99bb56ec-3b19-4465-8b17-fd8e9816708e,99bb56ec-3b19-4465-8b17-fd8e9816708e
Gardner and Sons,Customer,Finance,25714698,Warm,986-825-5667,https://www.johnson.biz/,427 Becker Lane Suite 487,Stephenland,OH,Myanmar,68092,Quinn,Thompson,2024-04-08T00:22:51,salesforce_accounts,2025-10-12T04:56:38.677936,8bbe1b5b-10ee-4ea3-a6c0-c99fc25f8014,8bbe1b5b-10ee-4ea3-a6c0-c99fc25f8014
Chen Inc,Vendor,Finance,35677004,Cold,887-958-0645,http://ibarra.com/,15454 Margaret Parkways Suite 622,South Desireemouth,MO,Saint Martin,79151,Jamie,Thompson,2024-08-03T02:33:17,salesforce_accounts,2025-10-12T04:56:38.677936,03253a26-ad0c-43d0-8f94-6750a4a5ad24,03253a26-ad0c-43d0-8f94-6750a4a5ad24
Johnson-Whitaker,Vendor,Energy,17986878,Warm,887-971-4736,https://juarez.com/,4305 Torres Parkway Apt. 213,Michaelshire,MT,Belize,21439,Jamie,Moore,2020-11-25T10:28:07,salesforce_accounts,2025-10-12T04:56:38.677936,0bfac026-1da9-4750-9f80-5b98a0fc947e,0bfac026-1da9-4750-9f80-5b98a0fc947e
"Ramirez, Adams and Miller",Prospect,Retail,22598345,Warm,376-031-5598,https://www.lewis.com/,9552 Jonathan Curve Apt. 049,North Andrew,IA,Belize,64118,Casey,Jones,2022-12-16T14:14:29,salesforce_accounts,2025-10-12T04:56:38.677936,8f9604ec-11f8-4975-b05f-6907e6ea18da,8f9604ec-11f8-4975-b05f-6907e6ea18da
Weeks Ltd,Customer,Energy,17120937,Hot,+1-067-293-1559x422,http://www.ramos.com/,01674 Duarte Rapids Suite 025,East Samantha,AR,Guernsey,20464,Morgan,Hernandez,2022-12-07T20:55:21,salesforce_accounts,2025-10-12T04:56:38.677936,b91f3a6c-2617-442c-a27a-76a7482f7829,b91f3a6c-2617-442c-a27a-76a7482f7829
Patel Inc,Customer,Retail,32484287,Cold,498-481-3283x8894,https://www.kim-bartlett.com/,3435 Porter Radial,Bradleyberg,NJ,Tanzania,68061,Devin,Jackson,2021-08-04T23:39:03,salesforce_accounts,2025-10-12T04:56:38.677936,07940d45-9056-485e-b98c-c803953fc3d3,07940d45-9056-485e-b98c-c803953fc3d3
Harris-Brown,Vendor,Energy,30538378,Warm,001-662-914-6128x973,http://buchanan.com/,3559 Underwood Road Apt. 249,Vangland,KY,Gabon,61044,Taylor,Moore,2023-10-05T13:29:34,salesforce_accounts,2025-10-12T04:56:38.677936,bb0177b3-2abc-4b12-b806-71a2c8a8a899,bb0177b3-2abc-4b12-b806-71a2c8a8a899
Goodwin Inc,Partner,Energy,42913492,Warm,871-919-9996x202,http://www.nelson.com/,3131 Lisa Field Suite 490,Reginaport,MI,Anguilla,10387,Logan,Anderson,2023-04-03T10:34:32,salesforce_accounts,2025-10-12T04:56:38.677936,f8a57b40-af16-4926-a97f-587f7c6e1995,f8a57b40-af16-4926-a97f-587f7c6e1995
