product_id,sku,product_name,category,subcategory,brand,price_usd,cost_usd,weight_kg,dimensions,color,size,active,stock_quantity,reorder_level,supplier_id,created_at,updated_at,source_system,ingestion_timestamp,rating,review_count,in_stock
PROD-000000,SKU-301994,Organized 6thgeneration encoding,Clothing,Men's,"Wilson, Estes and Brown",62.73,204.81,20.82,82x75x10,Red,L,True,735,38,SUPP-058,2023-09-12 16:52:04.725395,2025-04-19 21:54:17.491269,snowflake,2025-03-22 10:50:05.355037,4.7,30,True
PROD-000001,SKU-569059,Progressive interactive forecast,Home,Other,Lewis-Fry,983.16,235.3,4.85,10x21x6,Orange,L,True,933,44,SUPP-001,2023-08-30 20:14:26.404042,2025-09-16 17:02:13.241667,snowflake,2025-03-22 10:50:05.355037,4.5,24,True
PROD-000002,SKU-629014,Secured asymmetric extranet,Home,Other,Flynn-Russo,94.32,405.49,29.92,74x65x35,Black,XL,True,537,61,SUPP-092,2024-06-28 01:06:19.286236,2025-03-18 13:01:46.685608,snowflake,2025-03-22 10:50:05.355037,3.3,25,True
PROD-000003,SKU-626889,Secured scalable emulation,Sports,Winter Sports,Carson Group,841.55,245.79,2.65,60x25x25,Blue,L,True,314,86,SUPP-020,2023-03-05 22:48:38.936713,2025-04-10 09:29:26.805893,snowflake,2025-03-22 10:50:05.355037,5.0,21,True
PROD-000004,SKU-357701,Cloned real-time projection,Books,Non-Fiction,Martin-Rivas,415.13,83.69,47.13,55x74x3,Yellow,XXL,False,703,70,SUPP-046,2024-09-07 04:34:12.345890,2025-09-08 02:11:47.321895,snowflake,2025-03-22 10:50:05.355037,4.8,23,True
PROD-000005,SKU-194186,Enterprise-wide national complexity,Sports,Winter Sports,Lawson-Collins,176.26,126.95,39.75,40x79x37,Yellow,M,True,772,70,SUPP-019,2023-11-04 09:57:10.853061,2024-11-07 14:12:03.898766,snowflake,2025-03-22 10:50:05.355037,4.1,30,True
PROD-000006,SKU-867521,Re-engineered multi-state website,Electronics,Gaming,"Williams, White and Hill",625.43,487.07,8.48,22x15x13,Green,XL,False,419,83,SUPP-047,2023-04-04 14:25:09.808120,2025-05-21 10:56:30.587176,snowflake,2025-03-22 10:50:05.355037,3.6,24,True
PROD-000007,SKU-170517,Open-architected modular migration,Clothing,Shoes,"Mckenzie, Wood and Moore",33.55,410.82,37.65,94x93x30,White,XXL,False,386,26,SUPP-042,2024-05-09 07:20:35.849274,2025-07-27 00:54:48.059046,snowflake,2025-03-22 10:50:05.355037,4.9,26,True
PROD-000008,SKU-523174,Synergized global customer loyalty,Home,Other,Brown-Campbell,978.58,172.89,29.34,46x32x2,Red,XL,True,786,95,SUPP-055,2022-12-04 14:57:17.479331,2024-11-26 13:52:24.762092,snowflake,2025-03-22 10:50:05.355037,3.9,23,True
PROD-000009,SKU-877570,Virtual stable parallelism,Books,Children's,Wells-Castro,562.49,179.35,8.88,45x66x44,Red,L,False,613,42,SUPP-020,2023-07-05 10:26:17.723659,2025-08-14 17:25:54.660432,snowflake,2025-03-22 10:50:05.355037,5.0,35,True
